,song,artist,date,explicit,uri,popularity,ironhacker,links,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,Honey,"['Drugdealer', 'Weyes Blood']",2019-04-19,False,spotify:track:1XU6JOnyH8fSW0vzofEMCb,43,Pau,https://open.spotify.com/track/1XU6JOnyH8fSW0vzofEMCb,0.637,0.519,6,-9.461,1,0.0283,0.343,5.74e-05,0.273,0.515,145.024,audio_features,1XU6JOnyH8fSW0vzofEMCb,https://api.spotify.com/v1/tracks/1XU6JOnyH8fSW0vzofEMCb,https://api.spotify.com/v1/audio-analysis/1XU6JOnyH8fSW0vzofEMCb,268147,4
1,Someone To Spend Time With,Los Retros,2019-02-12,False,spotify:track:6SE4JAo7T8C7XkFka5bbga,73,Pau,https://open.spotify.com/track/6SE4JAo7T8C7XkFka5bbga,0.816,0.46,9,-13.299,1,0.034,0.0488,0.261,0.106,0.963,89.57,audio_features,6SE4JAo7T8C7XkFka5bbga,https://api.spotify.com/v1/tracks/6SE4JAo7T8C7XkFka5bbga,https://api.spotify.com/v1/audio-analysis/6SE4JAo7T8C7XkFka5bbga,173954,4
2,Avalon,Foxygen,2017-01-20,False,spotify:track:1C2i9IMvzAHJSPvMpOHjIM,33,Pau,https://open.spotify.com/track/1C2i9IMvzAHJSPvMpOHjIM,0.403,0.605,7,-7.683,1,0.0327,0.309,0.000769,0.391,0.652,134.125,audio_features,1C2i9IMvzAHJSPvMpOHjIM,https://api.spotify.com/v1/tracks/1C2i9IMvzAHJSPvMpOHjIM,https://api.spotify.com/v1/audio-analysis/1C2i9IMvzAHJSPvMpOHjIM,226027,4
3,I Wanna Prove to You,The Lemon Twigs,2016-10-14,False,spotify:track:7MFZH5pIxzlL0RH88cJILH,43,Pau,https://open.spotify.com/track/7MFZH5pIxzlL0RH88cJILH,0.293,0.677,2,-5.697,1,0.0404,0.471,4.56e-06,0.153,0.396,188.884,audio_features,7MFZH5pIxzlL0RH88cJILH,https://api.spotify.com/v1/tracks/7MFZH5pIxzlL0RH88cJILH,https://api.spotify.com/v1/audio-analysis/7MFZH5pIxzlL0RH88cJILH,221160,4
4,Amtrak,Los Retros,2021-04-26,False,spotify:track:2MHEBMTdz8POCwewLjO6CO,0,Pau,https://open.spotify.com/track/2MHEBMTdz8POCwewLjO6CO,0.438,0.703,7,-7.069,1,0.0265,0.493,0.000979,0.0866,0.645,175.881,audio_features,2MHEBMTdz8POCwewLjO6CO,https://api.spotify.com/v1/tracks/2MHEBMTdz8POCwewLjO6CO,https://api.spotify.com/v1/audio-analysis/2MHEBMTdz8POCwewLjO6CO,176751,4
5,Homage,Mild High Club,2016-08-26,False,spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,78,Pau,https://open.spotify.com/track/7DcJ6fEBb7BaKuYKTwiDxK,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,audio_features,7DcJ6fEBb7BaKuYKTwiDxK,https://api.spotify.com/v1/tracks/7DcJ6fEBb7BaKuYKTwiDxK,https://api.spotify.com/v1/audio-analysis/7DcJ6fEBb7BaKuYKTwiDxK,177493,4
6,Not Enough,FUR,2017-08-07,False,spotify:track:5g1GC2fYOXkjv2rV3l0pPQ,0,Pau,https://open.spotify.com/track/5g1GC2fYOXkjv2rV3l0pPQ,0.474,0.516,4,-6.969,0,0.0259,0.285,8.58e-06,0.164,0.587,189.893,audio_features,5g1GC2fYOXkjv2rV3l0pPQ,https://api.spotify.com/v1/tracks/5g1GC2fYOXkjv2rV3l0pPQ,https://api.spotify.com/v1/audio-analysis/5g1GC2fYOXkjv2rV3l0pPQ,217895,3
7,You Don't Know This Guy,Her's,2017-05-12,False,spotify:track:5PxibFPxW06HBPab6KrcPP,50,Pau,https://open.spotify.com/track/5PxibFPxW06HBPab6KrcPP,0.311,0.28,3,-10.151,1,0.0271,0.925,0.0362,0.145,0.192,87.254,audio_features,5PxibFPxW06HBPab6KrcPP,https://api.spotify.com/v1/tracks/5PxibFPxW06HBPab6KrcPP,https://api.spotify.com/v1/audio-analysis/5PxibFPxW06HBPab6KrcPP,321140,3
8,Streems,The Symposium,2017-04-20,False,spotify:track:6swJpZoCzbqjMb47o7BoVP,48,Pau,https://open.spotify.com/track/6swJpZoCzbqjMb47o7BoVP,0.517,0.404,6,-11.463,0,0.0415,0.338,0.477,0.11,0.735,96.157,audio_features,6swJpZoCzbqjMb47o7BoVP,https://api.spotify.com/v1/tracks/6swJpZoCzbqjMb47o7BoVP,https://api.spotify.com/v1/audio-analysis/6swJpZoCzbqjMb47o7BoVP,257088,4
9,Dionysus,The Buttertones,2014-01-22,False,spotify:track:7wYU1avLwl1Gtkib8OTrZp,51,Pau,https://open.spotify.com/track/7wYU1avLwl1Gtkib8OTrZp,0.331,0.61,9,-8.138,1,0.0293,0.00269,0.0548,0.14,0.55,132.746,audio_features,7wYU1avLwl1Gtkib8OTrZp,https://api.spotify.com/v1/tracks/7wYU1avLwl1Gtkib8OTrZp,https://api.spotify.com/v1/audio-analysis/7wYU1avLwl1Gtkib8OTrZp,209040,4
10,Les Estrelles,Manel,2019-10-04,False,spotify:track:4SkF5mpMdLSy2ZHWcoqOPV,34,Pau,https://open.spotify.com/track/4SkF5mpMdLSy2ZHWcoqOPV,0.473,0.388,9,-9.017,1,0.042,0.786,1.55e-05,0.144,0.244,77.964,audio_features,4SkF5mpMdLSy2ZHWcoqOPV,https://api.spotify.com/v1/tracks/4SkF5mpMdLSy2ZHWcoqOPV,https://api.spotify.com/v1/audio-analysis/4SkF5mpMdLSy2ZHWcoqOPV,317828,4
11,Misty Morning,Travis Bretzer,2016-09-30,False,spotify:track:5ZaQW8tvH33GVJ0E3sLz2w,61,Pau,https://open.spotify.com/track/5ZaQW8tvH33GVJ0E3sLz2w,0.696,0.299,7,-11.433,1,0.0354,0.55,0.00014,0.131,0.223,143.188,audio_features,5ZaQW8tvH33GVJ0E3sLz2w,https://api.spotify.com/v1/tracks/5ZaQW8tvH33GVJ0E3sLz2w,https://api.spotify.com/v1/audio-analysis/5ZaQW8tvH33GVJ0E3sLz2w,156958,4
12,Red River,The Symposium,2016-03-16,False,spotify:track:4AQp8VkbXMU9gDI9KzwV2l,48,Pau,https://open.spotify.com/track/4AQp8VkbXMU9gDI9KzwV2l,0.456,0.523,4,-7.876,1,0.0254,0.0933,0.293,0.221,0.669,79.682,audio_features,4AQp8VkbXMU9gDI9KzwV2l,https://api.spotify.com/v1/tracks/4AQp8VkbXMU9gDI9KzwV2l,https://api.spotify.com/v1/audio-analysis/4AQp8VkbXMU9gDI9KzwV2l,202504,4
13,Better For Me,Fake Laugh,2018-03-23,False,spotify:track:1fPgAlasrmolLvq1vDtkq3,44,Pau,https://open.spotify.com/track/1fPgAlasrmolLvq1vDtkq3,0.613,0.439,2,-6.523,1,0.026,0.506,0.0012,0.102,0.463,90.086,audio_features,1fPgAlasrmolLvq1vDtkq3,https://api.spotify.com/v1/tracks/1fPgAlasrmolLvq1vDtkq3,https://api.spotify.com/v1/audio-analysis/1fPgAlasrmolLvq1vDtkq3,255907,4
14,You Might Be Sleeping,"['Jakob', 'Clairo']",2017-06-16,False,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,67,Pau,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f,0.587,0.565,7,-9.249,1,0.0265,0.731,0.341,0.169,0.508,92.604,audio_features,2KvbRojbZGMsWr1Nuj5n2f,https://api.spotify.com/v1/tracks/2KvbRojbZGMsWr1Nuj5n2f,https://api.spotify.com/v1/audio-analysis/2KvbRojbZGMsWr1Nuj5n2f,147093,4
15,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980-05-16,False,spotify:track:1SV1fxF65n9NhRHp3KlBuu,90,Elisa,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu,0.774,0.511,11,-8.914,1,0.0319,0.322,0.0,0.0672,0.771,94.736,audio_features,1SV1fxF65n9NhRHp3KlBuu,https://api.spotify.com/v1/tracks/1SV1fxF65n9NhRHp3KlBuu,https://api.spotify.com/v1/audio-analysis/1SV1fxF65n9NhRHp3KlBuu,227653,4
16,L'exode,Jumo,2020-06-05,False,spotify:track:7r8kxDfdDrbIdHUGUrrShS,47,Ana,https://open.spotify.com/track/7r8kxDfdDrbIdHUGUrrShS,0.532,0.585,8,-10.538,1,0.0478,0.743,0.941,0.0694,0.317,162.05,audio_features,7r8kxDfdDrbIdHUGUrrShS,https://api.spotify.com/v1/tracks/7r8kxDfdDrbIdHUGUrrShS,https://api.spotify.com/v1/audio-analysis/7r8kxDfdDrbIdHUGUrrShS,206242,4
